Mercado,Seleção,Tipo de lance,ID da Aposta,Aposta realizada,,Persistência,Probabilidades req.,Aposta ($),Responsabilidade ($),Média de probabilidades correspondidas,Lucro/Prejuízo ($)
Futebol / Ingolstadt x Cottbus / Ambos os times marcam?,Sim,A favor,372024370063,20-dez-24 07:43,,C,1.5,2.00,,1.5,1.00
Futebol / Francs Borains x Racing Genk B / Ambos os times marcam?,Sim,A favor,372024861890,20-dez-24 07:50,,C,1.61,2.00,,1.61,1.22
Futebol / Elversberg x Schalke 04 / Ambos os times marcam?,Sim,A favor,372024023386,20-dez-24 07:39,,C,1.55,2.00,,1.55,1.10
Futebol / Eyupspor x Fenerbahce / Ambos os times marcam?,Sim,A favor,372019826723,20-dez-24 06:41,,C,1.68,2.00,,1.68,1.36
Futebol / Fortuna Dusseldorf x FC Magdeburg / Ambos os times marcam?,Sim,A favor,372024071995,20-dez-24 07:40,,C,1.6,2.00,,1.6,1.20
Futebol / FC Goa x Mohun Bagan Super Giants / Ambos os times marcam?,Sim,A favor,372019763122,20-dez-24 06:40,,C,1.62,2.00,,1.62,1.24
Futebol / Charlton Sub21 x Swansea Sub21 / Ambos os times marcam?,Sim,A favor,372019896339,20-dez-24 06:42,,C,1.35,2.00,,1.35,0.70
Futebol / Hapoel Azor x Maccabi Ashdod / Ambos os times marcam?,Sim,A favor,372019274681,20-dez-24 06:33,,C,1.78,2.00,,1.78,(2.00)
Futebol / Ilves x KuPS / Ambos os times marcam?,Sim,A favor,372019532510,20-dez-24 06:37,,C,1.67,2.00,,1.67,1.34
Futebol / Rapid Vienna x FC København / Ambos os times marcam?,Sim,A favor,371935026994,19-dez-24 09:28,,C,1.73,2.00,,1.73,(2.00)
Futebol / Jagiellonia Bialystock x Olimpija / Ambos os times marcam?,Sim,A favor,371935505504,19-dez-24 09:35,,C,1.77,2.00,,1.77,(2.00)
Futebol / Guimarães x Fiorentina / Ambos os times marcam?,Sim,A favor,371935283133,19-dez-24 09:32,,C,1.73,2.00,,1.73,1.46
Futebol / Cercle Brugge x Basaksehir / Ambos os times marcam?,Sim,A favor,371935317110,19-dez-24 09:32,,C,1.66,2.00,,1.66,1.32
Futebol / FC Heidenheim x St Gallen / Ambos os times marcam?,Sim,A favor,371935125429,19-dez-24 09:29,,C,1.55,2.00,,1.55,1.10
Futebol / Djurgardens x Legia Warsaw / Ambos os times marcam?,Sim,A favor,371935249730,19-dez-24 09:31,,C,1.68,2.00,,1.68,1.36
Futebol / Tottenham x Manchester United / Ambos os times marcam?,Sim,A favor,371935097186,19-dez-24 09:29,,C,1.46,2.00,,1.46,0.92
Futebol / Rijnsburgse Boys x FC Volendam / Ambos os times marcam?,Sim,A favor,371934937624,19-dez-24 09:27,,C,1.44,2.00,,1.44,(2.00)
Futebol / Deportivo x CD Castellón / Ambos os times marcam?,Sim,A favor,371935543549,19-dez-24 09:35,,C,1.65,2.00,,1.65,1.30
Futebol / VV Eemdijk x BVV Barendrecht / Ambos os times marcam?,Sim,A favor,371934769478,19-dez-24 09:24,,C,1.47,2.00,,1.47,0.94
Futebol / FK Backa Topola x FC Noah / Ambos os times marcam?,Sim,A favor,371935433326,19-dez-24 09:34,,C,1.56,2.00,,1.57,1.14
Futebol / Molde x Mlada Boleslav / Ambos os times marcam?,Sim,A favor,371935221347,19-dez-24 09:31,,C,1.74,2.00,,1.74,1.48
Futebol / Lask Linz x Vikingur Reykjavik / Ambos os times marcam?,Sim,A favor,371935182916,19-dez-24 09:30,,C,1.69,2.00,,1.7,1.39
Futebol / NK Celje x The New Saints / Ambos os times marcam?,Sim,A favor,371935352268,19-dez-24 09:33,,C,1.75,2.00,,1.75,1.51
Futebol / NK Celje x The New Saints / Ambos os times marcam?,Sim,Contra,371935381129,19-dez-24 09:33,,C,1.77,1.98,1.52,1.77,(1.52)
Futebol / Cardiff City U21 x Watford Sub21 / Ambos os times marcam?,Sim,A favor,371934803460,19-dez-24 09:25,,C,1.44,2.00,,1.44,0.88
Futebol / Queens Park Rangers U21 x Blackburn U21 / Ambos os times marcam?,Sim,A favor,371934840368,19-dez-24 09:25,,C,1.4,2.00,,1.4,0.80
Futebol / Lugano x Paphos FC / Ambos os times marcam?,Sim,A favor,371935157152,19-dez-24 09:30,,C,1.73,2.00,,1.73,1.46
Futebol / Royal Pari x CD Gualberto Villarroel / Ambos os times marcam?,Sim,A favor,371934879166,19-dez-24 09:26,,C,1.53,2.00,,1.53,1.06
Futebol / Genclerbirligi x Kasimpasa / Ambos os times marcam?,Sim,A favor,371934036165,19-dez-24 09:13,,C,1.76,2.00,,1.76,(2.00)
"Futebol / Genclerbirligi x Kasimpasa / Mais/Menos de 2,5 Gols","Menos de 2,5 gols",Contra,371945522154,19-dez-24 11:46,,C,2.86,1.88,3.50,2.86,(3.49)
Futebol / Al Hussein SC II x Al Sarhan / Ambos os times marcam?,Sim,A favor,371923922073,19-dez-24 07:06,,C,1.76,1.00,,1.76,(1.00)
Futebol / Kirklarelispor x Adana Demirspor / Ambos os times marcam?,Sim,A favor,371923888958,19-dez-24 07:05,,C,1.53,1.00,,1.53,(1.00)
Futebol / Iskenderunspor x Hatayspor / Ambos os times marcam?,Sim,A favor,371923812387,19-dez-24 07:05,,C,1.75,1.00,,1.75,(1.00)
Futebol / Juventus FC (W) x Valerenga (F) / Ambos os times marcam?,Sim,A favor,371848054410,18-dez-24 10:49,,C,1.75,1.00,,1.75,(1.00)
Futebol / Newcastle x Brentford / Ambos os times marcam?,Sim,A favor,371847827985,18-dez-24 10:46,,C,1.69,1.00,,1.69,0.69
Futebol / Monaco x PSG / Ambos os times marcam?,Sim,A favor,371848000713,18-dez-24 10:48,,C,1.56,1.00,,1.56,0.56
Futebol / Villarreal x Rayo Vallecano / Ambos os times marcam?,Sim,A favor,371848148141,18-dez-24 10:50,,C,1.78,1.00,,1.78,0.78
Futebol / Southampton x Liverpool / Ambos os times marcam?,Sim,A favor,371847881921,18-dez-24 10:47,,C,1.59,1.00,,1.59,0.59
"Futebol / Arsenal x Crystal Palace / Mais/Menos de 2,5 Gols","Menos de 2,5 gols",Contra,371884230082,18-dez-24 17:31,,C,2.14,4.39,5.00,2.14,4.39
"Futebol / Arsenal x Crystal Palace / Mais/Menos de 2,5 Gols","Menos de 2,5 gols",A favor,371885532119,18-dez-24 17:41,,C,4,1.67,,4,(1.67)
Futebol / Heracles x NEC Nijmegen / Ambos os times marcam?,Sim,A favor,371847522200,18-dez-24 10:42,,C,1.58,1.00,,1.58,(1.00)
Futebol / Brentford Sub21 x Bournemouth Sub21 / Ambos os times marcam?,Sim,A favor,371847424111,18-dez-24 10:40,,C,1.42,1.00,,1.42,(1.00)
Futebol / Club Real Santa Cruz x Real Tomayapo / Ambos os times marcam?,Sim,A favor,371847612624,18-dez-24 10:43,,C,1.63,1.00,,1.63,0.63
Futebol / Arsenal (F) x Bayern Munich (F) / Ambos os times marcam?,Sim,A favor,371847955665,18-dez-24 10:48,,C,1.69,1.00,,1.69,0.69
Futebol / Sparta Rotterdam x Go Ahead Eagles / Ambos os times marcam?,Sim,A favor,371847351554,18-dez-24 10:39,,C,1.64,1.00,,1.64,0.64
Futebol / SKN St. Polten (W) x Hammarby (F) / Ambos os times marcam?,Sim,A favor,371846640651,18-dez-24 10:31,,C,1.76,1.00,,1.76,0.76
"Futebol / Gaziantep FK x Yeni Orduspor / Mais/Menos de 1,5 Gols","Menos de 1,5 gols",Contra,371871084953,18-dez-24 15:35,,C,2.06,4.72,5.00,2.06,4.72
"Futebol / Gaziantep FK x Yeni Orduspor / Mais/Menos de 1,5 Gols","Menos de 1,5 gols",A favor,371872709629,18-dez-24 15:53,,C,3.1,2.38,,3.2,(2.38)
"Futebol / Gaziantep FK x Yeni Orduspor / Mais/Menos de 1,5 Gols","Menos de 1,5 gols",Contra,371872742550,18-dez-24 15:53,,C,3.3,0.10,0.23,3.3,0.10
"Futebol / AC Milan B x ASD Calcio Caldiero Terme / Mais/Menos de 3,5 Gols","Menos de 3,5 gols",Contra,371866800377,18-dez-24 14:53,,C,1.86,5.81,5.00,1.86,(5.00)
"Futebol / AC Milan B x ASD Calcio Caldiero Terme / Mais/Menos de 3,5 Gols","Menos de 3,5 gols",Contra,371869698369,18-dez-24 15:21,,C,1.36,13.89,5.00,1.36,(5.00)
"Futebol / AC Milan B x ASD Calcio Caldiero Terme / Mais/Menos de 3,5 Gols","Menos de 3,5 gols",A favor,371870715054,18-dez-24 15:31,,C,1.2,23.87,,1.2,4.77
"Futebol / AC Milan B x ASD Calcio Caldiero Terme / Mais/Menos de 3,5 Gols","Menos de 3,5 gols",A favor,371870761701,18-dez-24 15:31,,C,1.18,0.89,,1.18,0.16
Futebol / Rio Ave FC U23 x Gil Vicente U23 / Ambos os times marcam?,Sim,A favor,371845892018,18-dez-24 10:22,,C,1.62,1.00,,1.62,(1.00)
Futebol / Sanatatea Cluj x ASA Unirea Ungheni / Ambos os times marcam?,Sim,A favor,371846328291,18-dez-24 10:27,,C,1.61,1.00,,1.61,0.61
"Futebol / Rio Ave FC U23 x Gil Vicente U23 / Mais/Menos de 2,5 Gols","Menos de 2,5 gols",Contra,371857213751,18-dez-24 12:46,,C,1.57,8.77,5.00,1.57,8.77
"Futebol / Rio Ave FC U23 x Gil Vicente U23 / Mais/Menos de 2,5 Gols","Menos de 2,5 gols",Contra,371857710014,18-dez-24 12:54,,C,1.36,8.33,3.00,1.36,8.33
"Futebol / Rio Ave FC U23 x Gil Vicente U23 / Mais/Menos de 2,5 Gols","Menos de 2,5 gols",Contra,371857723208,18-dez-24 12:54,,C,1.36,5.56,1.95,1.35,5.56
"Futebol / Rio Ave FC U23 x Gil Vicente U23 / Mais/Menos de 2,5 Gols","Menos de 2,5 gols",A favor,371858118397,18-dez-24 13:01,,C,2,9.96,,2,(9.96)
Futebol / UTA Arad x Farul Constanta / Ambos os times marcam?,Sim,A favor,371846275807,18-dez-24 10:26,,C,1.79,1.00,,1.79,0.79
Futebol / Menemen Belediyespor x Ankaragucu / Ambos os times marcam?,Sim,A favor,371846402089,18-dez-24 10:28,,C,1.78,1.00,,1.78,0.78
"Futebol / Piacenza x USD Lavagnese 1919 / Mais/Menos de 2,5 Gols","Menos de 2,5 gols",Contra,371853617762,18-dez-24 12:03,,C,1.75,6.67,5.00,1.75,6.67
"Futebol / Piacenza x USD Lavagnese 1919 / Mais/Menos de 2,5 Gols","Menos de 2,5 gols",A favor,371855584894,18-dez-24 12:25,,C,2.06,4.72,,2.06,(4.72)
Futebol / OGC Nice U19 x AC Ajaccio Sub19 / Ambos os times marcam?,Sim,A favor,371842955977,18-dez-24 09:43,,C,1.53,1.00,,1.53,(1.00)
